                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0633,                  3.929,                 4.1651,                0.00536,                0.83654,                0.08124,                0.01852,                 2.8791,                 4.0218,                 4.0863,             0.00041193,             0.00041193,             0.00041193
                      2,                 2.9287,                 3.8637,                 4.0329,                0.00565,                0.86779,                0.13307,                0.04391,                 2.8894,                 4.0304,                 3.9944,              0.0008204,              0.0008204,              0.0008204
                      3,                 2.8843,                 3.7794,                 3.8247,                0.00539,                0.80529,                0.05423,                0.02305,                 2.8299,                 3.9809,                 3.9313,              0.0012206,              0.0012206,              0.0012206
                      4,                 2.6807,                  3.646,                 3.5768,                0.57839,                0.23214,                0.09367,                0.02149,                 2.6938,                 8.3987,                 3.8851,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.5025,                 3.5255,                  3.374,                0.02082,                   0.75,                0.05874,                0.01631,                 2.6401,                 4.1603,                 3.8061,              0.0012005,              0.0012005,              0.0012005
                      6,                  2.406,                 3.4292,                 3.1763,                0.18932,                0.28709,                0.17231,                0.06458,                 2.1153,                 4.1807,                 3.1747,              0.0011881,              0.0011881,              0.0011881
                      7,                 2.2877,                 3.3564,                 3.0383,                0.22746,                0.23214,                0.19291,                 0.0835,                 2.1221,                 3.7713,                 3.1687,              0.0011757,              0.0011757,              0.0011757
                      8,                 2.1296,                 3.2251,                 2.9119,                0.20361,                0.30185,                0.19596,                0.09104,                 2.0394,                  3.377,                 3.1162,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.1077,                 3.0869,                 2.8143,                0.20242,                0.37878,                0.26813,                0.13492,                 1.8454,                 3.2687,                  2.849,               0.001151,               0.001151,               0.001151
                     10,                 2.0418,                 3.0075,                 2.7155,                0.25621,                0.25248,                0.30434,                0.19158,                  1.613,                 3.0673,                 2.7671,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.9273,                 2.9398,                 2.6499,                0.20347,                0.29207,                0.26943,                0.15309,                 1.6056,                  3.062,                 2.7237,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.8824,                 2.8563,                 2.5988,                0.13068,                0.28984,                0.22857,                0.12635,                 1.7791,                 3.1316,                  2.744,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.8608,                 2.7613,                 2.5635,                0.18649,                0.47474,                0.29448,                0.18819,                  1.523,                 2.6899,                 2.4478,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.7286,                 2.6347,                 2.4473,                0.21471,                0.52835,                0.31269,                0.17706,                 1.5115,                 2.6907,                 2.3919,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.7598,                 2.6018,                 2.4477,                0.22199,                0.38247,                0.31182,                0.18378,                 1.5399,                 2.7677,                 2.3988,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.6444,                 2.5203,                 2.3205,                 0.2623,                 0.3908,                0.34119,                 0.2159,                 1.3827,                 2.6228,                 2.3128,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.5671,                 2.5181,                 2.2988,                0.24969,                0.58303,                0.36439,                0.23804,                 1.3418,                  2.535,                 2.2455,               0.001052,               0.001052,               0.001052
                     18,                 1.5336,                 2.4568,                 2.2397,                0.30994,                0.51002,                0.37646,                  0.201,                 1.5148,                 2.6027,                 2.4107,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.5293,                 2.3853,                 2.2213,                0.23815,                0.47596,                0.34939,                0.20698,                 1.5061,                 2.4595,                 2.2866,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.5318,                 2.3649,                 2.1899,                0.29544,                0.55854,                 0.3367,                0.23867,                 1.3717,                 2.5158,                 2.2036,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.4031,                 2.2573,                 2.1344,                 0.3204,                0.52782,                0.41883,                0.27782,                   1.36,                 2.3956,                 2.1825,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.3853,                  2.283,                 2.0815,                0.23787,                0.64045,                0.39966,                 0.2901,                 1.3954,                 2.2344,                 2.0917,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.4206,                 2.2614,                 2.0959,                0.34041,                0.53616,                  0.435,                0.29214,                  1.277,                 2.3402,                  2.137,             0.00097775,             0.00097775,             0.00097775
